"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 03:45:54 GMT 2024","Fri May 31 03:46:05 GMT 2024","11072","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","creatingBuildConfigurationWithSameNameShouldNotBeAvailable","creatingBuildConfigurationWithSameNameShouldNotBeAvailable","Creating build configuration with same name should not be available"
"passed","Fri May 31 03:44:33 GMT 2024","Fri May 31 03:44:33 GMT 2024","245","Surefire suite","Surefire test","com.example.teamcity.setup.AgentSetupTest","com.example.teamcity.setup.AgentSetupTest","setupAgentTest","setupAgentTest","Setup agent"
"passed","Fri May 31 03:45:02 GMT 2024","Fri May 31 03:45:03 GMT 2024","116","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminTestShouldHaveRightsToCreateProject","systemAdminTestShouldHaveRightsToCreateProject","System admin test should have rights to create project"
"passed","Fri May 31 03:44:56 GMT 2024","Fri May 31 03:44:56 GMT 2024","150","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithStepsShouldBeAvailable","creatingBuildConfigurationWithStepsShouldBeAvailable","Creating build configuration with steps should be available"
"passed","Fri May 31 03:45:00 GMT 2024","Fri May 31 03:45:00 GMT 2024","46","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectsWithSameNameShouldNotBeAvailable","creatingProjectsWithSameNameShouldNotBeAvailable","Creating projects with same name should not be available"
"passed","Fri May 31 03:44:57 GMT 2024","Fri May 31 03:44:58 GMT 2024","31","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithEmptyIdShouldNotBeAvailable","creatingProjectWithEmptyIdShouldNotBeAvailable","Creating project with empty id should not be available"
"passed","Fri May 31 03:42:29 GMT 2024","Fri May 31 03:43:21 GMT 2024","51248","Surefire suite","Surefire test","com.example.teamcity.setup.TeamcitySetupTest","com.example.teamcity.setup.TeamcitySetupTest","startUpTest","startUpTest","Startup TeamCity server and accept license"
"passed","Fri May 31 03:46:12 GMT 2024","Fri May 31 03:46:22 GMT 2024","9331","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","creatingProjectsWithSameNameShouldNotBeAvailable","creatingProjectsWithSameNameShouldNotBeAvailable","Creating projects with same name should not be available"
"passed","Fri May 31 03:44:56 GMT 2024","Fri May 31 03:44:57 GMT 2024","103","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectInAnotherProjectShouldBeAvailable","creatingProjectInAnotherProjectShouldBeAvailable","Creating project in another project should be available"
"passed","Fri May 31 03:45:03 GMT 2024","Fri May 31 03:45:03 GMT 2024","67","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject","Unauthorized user should not have rights to create project"
"passed","Fri May 31 03:44:58 GMT 2024","Fri May 31 03:44:58 GMT 2024","18","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithEmptyNameShouldNotBeAvailable","creatingProjectWithEmptyNameShouldNotBeAvailable","Creating project with empty name should not be available"
"passed","Fri May 31 03:44:50 GMT 2024","Fri May 31 03:44:54 GMT 2024","3409","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationShouldBeAvailable","creatingBuildConfigurationShouldBeAvailable","Creating build configuration should be available"
"passed","Fri May 31 03:44:55 GMT 2024","Fri May 31 03:44:55 GMT 2024","214","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithSameIdShouldNotBeAvailable","creatingBuildConfigurationWithSameIdShouldNotBeAvailable","Creating build configuration with same id should not be available"
"passed","Fri May 31 03:45:17 GMT 2024","Fri May 31 03:45:53 GMT 2024","36358","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","creatingBuildConfigurationShouldBeAvailable","creatingBuildConfigurationShouldBeAvailable","Creating build configuration should be available"
"passed","Fri May 31 03:45:00 GMT 2024","Fri May 31 03:45:01 GMT 2024","489","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","Project admin should have rights to create build config to his project"
"passed","Fri May 31 03:45:02 GMT 2024","Fri May 31 03:45:02 GMT 2024","263","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","Project admin should not have rights to create build config to another project"
"passed","Fri May 31 03:44:54 GMT 2024","Fri May 31 03:44:54 GMT 2024","237","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithEmptyIdShouldNotBeAvailable","creatingBuildConfigurationWithEmptyIdShouldNotBeAvailable","Creating build configuration with empty id should not be available"
"passed","Fri May 31 03:44:54 GMT 2024","Fri May 31 03:44:55 GMT 2024","135","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithEmptyNameShouldNotBeAvailable","creatingBuildConfigurationWithEmptyNameShouldNotBeAvailable","Creating build configuration with empty name should not be available"
"passed","Fri May 31 03:44:57 GMT 2024","Fri May 31 03:44:57 GMT 2024","36","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectShouldBeAvailable","creatingProjectShouldBeAvailable","Creating project should be available"
"passed","Fri May 31 03:44:58 GMT 2024","Fri May 31 03:44:59 GMT 2024","164","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithSameNameInDifferentParentsShouldBeAvailable","creatingProjectWithSameNameInDifferentParentsShouldBeAvailable","Creating project with same name in different parents should be available"
"passed","Fri May 31 03:46:05 GMT 2024","Fri May 31 03:46:12 GMT 2024","7431","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject","Authorized user should be able create new project"
"passed","Fri May 31 03:44:59 GMT 2024","Fri May 31 03:44:59 GMT 2024","74","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectsWithSameIdShouldNotBeAvailable","creatingProjectsWithSameIdShouldNotBeAvailable","Creating projects with same id should not be available"
"passed","Fri May 31 03:44:55 GMT 2024","Fri May 31 03:44:56 GMT 2024","156","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithSameNameShouldNotBeAvailable","creatingBuildConfigurationWithSameNameShouldNotBeAvailable","Creating build configuration with same name should not be available"
